OrganisationLabel,OrganisationalUnit,TransactionNumber,BeneficiaryName,ExpenseType,PaymentDate,Amount
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1665.16
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,2225.96
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,2225.96
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1665.16
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1780.8
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1665.16
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1665.16
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1665.16
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1665.16
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1665.16
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1665.16
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,2045.12
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1665.16
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1665.16
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,2000.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,BALANCE SHEET,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,-1951.2
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,2040.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624621,POLDER HEALTH CARE T/A MELROSE HOUSE,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1621258,POLICE AND CRIME COMMISSIONER FOR MERSEYSIDE  ,,10/02/2016,7067.31
Wirral Metropolitan Borough Council,BALANCE SHEET,CHAPS,POLICE AND CRIME COMMISSIONER FOR MERSEYSIDE  ,,15/02/2016,1426659.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1622775,POLLOCK LIFTS LIMITED,,15/02/2016,7968.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1620293,POST OFFICE LTD-POSTAL ORDER PAYOUT,,04/02/2016,6859.97
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1622074,POST OFFICE LTD-POSTAL ORDER PAYOUT,,11/02/2016,5824.4
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1623636,POST OFFICE LTD-POSTAL ORDER PAYOUT,,19/02/2016,6176.98
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1625632,POST OFFICE LTD-POSTAL ORDER PAYOUT,,25/02/2016,5253.23
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622075,POSTAGE BY PHONE,,11/02/2016,500.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624625,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2104.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624627,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2842.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624627,POTENSIAL LIMITED T/A POTENS,,23/02/2016,3220.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624627,POTENSIAL LIMITED T/A POTENS,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624627,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2770.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624627,POTENSIAL LIMITED T/A POTENS,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624627,POTENSIAL LIMITED T/A POTENS,,23/02/2016,4321.8
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624627,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2814.72
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624627,POTENSIAL LIMITED T/A POTENS,,23/02/2016,1260.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624624,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2368.12
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624624,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2315.84
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624624,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2100.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624624,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2360.96
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624624,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2100.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624624,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2443.84
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624623,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2695.4
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624623,POTENSIAL LIMITED T/A POTENS,,23/02/2016,3204.8
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624628,POTENSIAL LIMITED T/A POTENS,,23/02/2016,4110.88
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624628,POTENSIAL LIMITED T/A POTENS,,23/02/2016,4058.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624628,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2600.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624628,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2600.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624628,POTENSIAL LIMITED T/A POTENS,,23/02/2016,4043.12
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624628,POTENSIAL LIMITED T/A POTENS,,23/02/2016,9398.96
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624628,POTENSIAL LIMITED T/A POTENS,,23/02/2016,8199.68
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624622,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2552.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624622,POTENSIAL LIMITED T/A POTENS,,23/02/2016,2906.72
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624626,POTENSIAL LIMITED T/A POTENS,,23/02/2016,4024.64
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625633,POTENSIAL LIMITED T/A POTENS,,25/02/2016,93042.72
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1623303,POTENSIAL LIMITED T/A POTENS,,17/02/2016,2210.4
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1623303,POTENSIAL LIMITED T/A POTENS,,17/02/2016,2210.4
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1623303,POTENSIAL LIMITED T/A POTENS,,17/02/2016,736.8
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624198,PRENTON HIGH SCHOOL FOR GIRLS (ACADEMY),,22/02/2016,10627.5
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,218108,PRENTON MEDICAL CENTRE,,09/02/2016,1195.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626069,PRENTON METHODIST CHURCH,,26/02/2016,2400.75
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626069,PRENTON METHODIST CHURCH,,26/02/2016,3765.85
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626069,PRENTON METHODIST CHURCH,,26/02/2016,2553.43
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626070,PRENTON PREP SCHOOL LTD,,26/02/2016,5383.84
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626070,PRENTON PREP SCHOOL LTD,,26/02/2016,3075.56
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622776,PRE-SCHOOL LEARNING ALLIANCE,,15/02/2016,1500.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1620071,PRESTIGE ADOLESCENT CARE & EDUCATION LIMITED,,03/02/2016,12946.18
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1621264,PRIMESIGHT LTD,,10/02/2016,1680.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619647,PRIMUS PSYCHOLOGY LIMITED,,01/02/2016,2413.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1622778,PRINTFINE LIMITED,,15/02/2016,514.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1620560,PRINTFINE LIMITED,,05/02/2016,750.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1620560,PRINTFINE LIMITED,,05/02/2016,680.4
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1620560,PRINTFINE LIMITED,,05/02/2016,726.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1620296,PRINTFINE LIMITED,,04/02/2016,2739.6
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622077,PROFESSIONAL OFFICE LIMITED,,11/02/2016,1500.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1622475,PROLUDIC LIMITED,,12/02/2016,1480.8
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624631,PSS (UK) LIMITED,,23/02/2016,1817.52
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626345,PUDSEY DAY NURSERY,,29/02/2016,7602.87
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626345,PUDSEY DAY NURSERY,,29/02/2016,1679.7
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626345,PUDSEY DAY NURSERY,,29/02/2016,-800.25
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626071,PULFORD PLAYGROUP,,26/02/2016,12620.19
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626071,PULFORD PLAYGROUP,,26/02/2016,4386.03
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622476,PULSE HEALTHCARE LIMITED T/A PULSE COMMUNITY HEALTHCARE,,12/02/2016,512.68
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622476,PULSE HEALTHCARE LIMITED T/A PULSE COMMUNITY HEALTHCARE,,12/02/2016,772.31
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622476,PULSE HEALTHCARE LIMITED T/A PULSE COMMUNITY HEALTHCARE,,12/02/2016,5444.88
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619648,PURPLE SQUIRCLE LIMITED,,01/02/2016,1200.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1626348,QUINNS OF GREASBY LIMITED,,29/02/2016,866.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619649,R & J TRAVEL(COACH HIRE),,01/02/2016,2550.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1620563,R & J TRAVEL(COACH HIRE),,05/02/2016,2415.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622780,R & J TRAVEL(COACH HIRE),,15/02/2016,3150.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1623638,R & J TRAVEL(COACH HIRE),,19/02/2016,3150.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1619858,RACHAEL BANKS,,02/02/2016,624.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1619858,RACHAEL BANKS,,02/02/2016,648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619652,RADICAL SERVICES LIMITED,,01/02/2016,14171.43
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619651,RADICAL SERVICES LIMITED,,01/02/2016,2180.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622784,RAPE AND SEXUAL ABUSE CENTRE (RASA),,15/02/2016,4166.66
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1625645,RAPE AND SEXUAL ABUSE CENTRE (RASA),,25/02/2016,11000.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1623309,REACTIVE PLUMBING & DRAINAGE LIMITED,,17/02/2016,4668.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1623309,REACTIVE PLUMBING & DRAINAGE LIMITED,,17/02/2016,540.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626074,REASEHEATH COLLEGE,,26/02/2016,9017.58
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624633,RED BANK HOUSE,,23/02/2016,8529.04
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1623641,RED NINJA LIMITED,,19/02/2016,9600.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624634,RED ROCKS NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,BALANCE SHEET,218245,REDACTED PERSONAL DATA ,,19/02/2016,1200.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,218126,REDACTED PERSONAL DATA ,,10/02/2016,770.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622601,REDACTED PERSONAL DATA ,,15/02/2016,700.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619976,REDACTED PERSONAL DATA ,,03/02/2016,1300.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624784,REDACTED PERSONAL DATA ,,24/02/2016,1300.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,218207,REDACTED PERSONAL DATA ,,16/02/2016,700.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619586,REDACTED PERSONAL DATA ,,01/02/2016,882.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1621203,REDACTED PERSONAL DATA ,,10/02/2016,500.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624842,REDACTED PERSONAL DATA ,,24/02/2016,2000.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624127,REDACTED PERSONAL DATA ,,22/02/2016,808.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,218312,REDACTED PERSONAL DATA ,,22/02/2016,1219.63
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624908,REDACTED PERSONAL DATA ,,24/02/2016,500.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624913,REDACTED PERSONAL DATA ,,24/02/2016,664.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1620096,REDACTED PERSONAL DATA ,,03/02/2016,910.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619881,REDACTED PERSONAL DATA ,,02/02/2016,687.5
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1624676,REDACTED PERSONAL DATA ,,23/02/2016,600.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625801,REDACTED PERSONAL DATA ,,25/02/2016,2000.0
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE ,CHAPS,REDACTED PERSONAL INFORMATION,,08/02/2016,782.95
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE ,CHAPS,REDACTED PERSONAL INFORMATION,,15/02/2016,1200.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626075,REDCOURT-ST ANSELM'S,,26/02/2016,8279.7
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626075,REDCOURT-ST ANSELM'S,,26/02/2016,5413.65
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624895,REDFERN TRAVEL LIMITED,,24/02/2016,563.31
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624895,REDFERN TRAVEL LIMITED,,24/02/2016,568.1
Wirral Metropolitan Borough Council,BALANCE SHEET,1625651,REDSUN DEVELOPMENTS LIMITED,,25/02/2016,91216.69
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1620077,REED,,03/02/2016,605.23
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1620077,REED,,03/02/2016,605.23
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1625652,REED BUSINESS INFORMATION LTD,,25/02/2016,3477.6
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622093,REED BUSINESS INFORMATION LTD,,11/02/2016,2889.6
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1623312,REGENDA GROUP (MARITIME HA),,17/02/2016,4145.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1623480,REGENDA LIMITED,,18/02/2016,10250.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,2980.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,-505.2
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,-505.2
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,-505.2
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,-505.2
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,-505.2
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624635,RICHMOND RESIDENTIAL HOME,,23/02/2016,-505.2
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1624636,RIGBY TAYLOR LIMITED,,23/02/2016,3577.2
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1624636,RIGBY TAYLOR LIMITED,,23/02/2016,583.2
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1624637,RIGHTMOVE GROUP LIMITED,,23/02/2016,645.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1623055,RIPON COMMUNITY LINK,,16/02/2016,1293.75
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622787,RIPON COMMUNITY LINK,,15/02/2016,2070.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622787,RIPON COMMUNITY LINK,,15/02/2016,2070.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622787,RIPON COMMUNITY LINK,,15/02/2016,2070.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624638,RIVERSDALE NORTHWEST LTD,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624638,RIVERSDALE NORTHWEST LTD,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624638,RIVERSDALE NORTHWEST LTD,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624638,RIVERSDALE NORTHWEST LTD,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624638,RIVERSDALE NORTHWEST LTD,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624638,RIVERSDALE NORTHWEST LTD,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624638,RIVERSDALE NORTHWEST LTD,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624638,RIVERSDALE NORTHWEST LTD,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624638,RIVERSDALE NORTHWEST LTD,,23/02/2016,1164.86
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1621034,RIVERSIDE SURGERY,,09/02/2016,1702.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624639,RNIB TATE HOUSE,,23/02/2016,2100.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1624900,ROBIN HOPKINS,,24/02/2016,1080.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624640,RODNEY HOUSE,,23/02/2016,1496.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1622101,ROE STREET RUNNERS LTD,,11/02/2016,612.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1622101,ROE STREET RUNNERS LTD,,11/02/2016,612.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619661,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,01/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619661,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,01/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619661,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,01/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619661,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,01/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1796.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1796.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1796.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624641,ROLFIELDS LIMITED T/A THE ANCHORAGE NURSING HOME,,23/02/2016,1812.0
